movie_title,genres,tomatometer_rating,predicted_y,predicted_y_string,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,War,Musical,Documentar,IMAX,Western,Film-Noir,(no genre listed)
Percy Jackson & the Olympians: The Lightning Thief,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",49,-1,Rotten,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Please Give,Comedy,87,1,Certified Fresh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Comedy, Romance",67,0,Fresh,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 Angry Men (Twelve Angry Men),"Classics, Drama",100,1,Certified Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"20,000 Leagues Under The Sea","Action & Adventure, Drama, Kids & Family",89,0,Fresh,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"10,000 B.C.","Action & Adventure, Classics, Drama",8,-1,Rotten,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The 39 Steps,"Action & Adventure, Classics, Mystery & Suspense",96,1,Certified Fresh,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
3:10 to Yuma,"Classics, Drama, Western",96,0,Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Charly (A Heartbeat Away),"Comedy, Drama, Romance",20,-1,Rotten,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abraham Lincoln,"Classics, Drama",82,0,Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dark Water,"Art House & International, Horror, Mystery & Suspense",80,0,Fresh,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
The Accused,"Drama, Mystery & Suspense",91,0,Fresh,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
The Lost City,Drama,25,-1,Rotten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Breaking Point,Drama,100,0,Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam's Rib,"Classics, Comedy, Romance",96,0,Fresh,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Bridge of San Luis Rey,"Art House & International, Drama, Faith & Spirituality",4,-1,Rotten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Prowler (Cost of Living ),"Drama, Mystery & Suspense",100,0,Fresh,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Criminal,"Drama, Mystery & Suspense",69,0,Fresh,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
The Adventures of Mark Twain,"Action & Adventure, Animation, Kids & Family",80,0,Fresh,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Deep Blue,"Documentary, Special Interest",67,0,Fresh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Adventures of Robin Hood,"Action & Adventure, Classics, Romance",100,1,Certified Fresh,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Man Hunt,"Classics, Drama, Mystery & Suspense",92,0,Fresh,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Dead End,"Comedy, Horror, Mystery & Suspense",75,0,Fresh,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Bandwagon,Comedy,80,0,Fresh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whore,"Art House & International, Drama",0,-1,Rotten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tristan & Isolde,"Drama, Science Fiction & Fantasy, Romance",31,-1,Rotten,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Wild Side,"Art House & International, Drama",63,0,Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Tale of Two Pizzas,Comedy,38,-1,Rotten,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Running Scared,"Action & Adventure, Drama, Mystery & Suspense",41,-1,Rotten,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Going the Distance,Comedy,0,-1,Rotten,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultraviolet,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy",8,-1,Rotten,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
Home of the Brave,"Action & Adventure, Documentary, Drama, Special Interest",93,0,Fresh,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Arthur and the Invisibles (Arthur and the Minimoys),"Animation, Kids & Family, Science Fiction & Fantasy",22,-1,Rotten,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Malevolence,Horror,33,-1,Rotten,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Eternal,"Horror, Mystery & Suspense",21,-1,Rotten,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
A Farewell To Arms,"Classics, Drama, Romance",0,-1,Rotten,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Narrow Margin,"Classics, Drama, Mystery & Suspense",100,0,Fresh,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
The Matador,"Action & Adventure, Comedy, Drama, Mystery & Suspense",75,1,Certified Fresh,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Smile,"Art House & International, Comedy, Drama",15,-1,Rotten,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Intruder (L'Intrus),"Art House & International, Drama",87,0,Fresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Ralph,"Comedy, Drama",64,0,Fresh,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Baxter,"Comedy, Romance",32,-1,Rotten,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver Twist,"Drama, Kids & Family",61,0,Fresh,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Alamo,"Action & Adventure, Classics, Drama, Western",52,-1,Rotten,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
G,"Drama, Romance",24,-1,Rotten,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander the Great,Classics,0,-1,Rotten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfie,"Classics, Comedy, Drama, Romance",96,0,Fresh,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Neverwas,"Drama, Mystery & Suspense",14,-1,Rotten,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
The Second Chance,"Drama, Faith & Spirituality",44,-1,Rotten,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
