,index,runtime,title,studio,year,genre
0,0,81.0,10089,102,56,2
1,1,104.0,4369,592,56,1
2,2,101.0,3464,675,56,14
3,3,127.0,10469,252,56,3
4,4,106.0,2870,102,56,3
5,5,170.0,3643,675,56,0
6,6,102.0,3643,675,56,3
7,7,101.0,3643,675,56,0
8,8,127.0,6835,486,56,3
9,9,113.0,6835,486,56,3
10,10,97.0,10041,102,56,0
11,11,106.0,7625,652,56,0
12,12,130.0,3360,383,56,1
13,13,106.0,7954,592,56,3
14,14,88.0,2501,592,56,3
15,15,78.0,893,652,56,7
16,16,192.0,5762,102,56,10
17,17,119.0,2091,383,56,0
18,18,178.0,1613,652,56,6
19,19,136.0,6981,592,56,6
20,20,174.0,6981,592,56,6
21,21,174.0,6981,592,56,14
22,22,178.0,6981,592,56,20
23,23,98.0,3074,407,56,4
24,24,90.0,385,675,56,4
25,25,103.0,5407,592,56,0
26,26,105.0,3255,383,56,3
27,27,124.0,1984,675,56,6
28,28,132.0,775,675,56,0
29,29,111.0,6337,102,56,6
30,30,112.0,4704,383,56,6
31,31,123.0,6015,592,56,6
32,32,90.0,6015,592,56,6
33,33,165.0,6015,592,56,6
34,34,204.0,6015,592,56,20
35,35,100.0,5846,428,56,3
36,36,104.0,6200,562,56,6
37,37,93.0,6200,562,56,6
38,38,300.0,6200,562,56,20
39,39,108.0,7052,562,56,6
40,40,99.0,2138,102,56,6
41,41,89.0,835,652,56,8
42,42,121.0,1602,280,56,10
43,43,122.0,2198,280,56,6
44,44,101.0,4210,675,56,3
45,45,78.0,4210,675,56,3
46,46,97.0,1858,486,56,3
47,47,106.0,2074,407,56,6
48,48,103.0,2074,407,56,6
49,49,104.0,6676,642,56,6
50,50,161.0,6676,642,56,6
51,51,55.0,6676,642,56,6
52,52,119.0,2204,102,56,0
53,53,117.0,6637,407,56,6
54,54,90.0,6637,407,56,11
55,55,101.0,5455,428,56,0
56,56,106.0,10027,592,56,8
57,57,81.0,6290,102,56,1
58,58,96.0,10620,444,58,6
59,59,106.0,9763,280,56,6
60,60,93.0,3467,521,75,0
61,61,95.0,5305,407,56,3
62,62,100.0,8066,102,56,0
63,63,115.0,3239,407,56,6
64,64,103.0,3786,486,56,3
65,65,73.0,3786,486,56,11
66,66,108.0,9325,675,58,3
67,67,177.0,9325,675,58,6
68,68,96.0,8802,486,56,1
69,69,101.0,2791,486,57,6
70,70,20.0,2791,486,57,20
71,71,137.0,5493,102,56,12
72,72,89.0,2444,407,57,3
73,73,96.0,10235,675,57,3
74,74,88.0,1145,383,57,3
75,75,92.0,4686,428,57,0
76,76,85.0,10227,407,56,6
77,77,95.0,3126,407,57,3
78,78,91.0,3132,428,56,3
79,79,87.0,3132,428,56,3
80,80,108.0,3150,407,57,11
81,81,96.0,4477,652,66,3
82,82,96.0,4477,635,56,3
83,83,87.0,978,428,57,6
84,84,67.0,978,428,57,3
85,85,90.0,1101,675,57,3
86,86,108.0,6941,592,57,11
87,87,91.0,6941,592,57,5
88,88,111.0,8280,407,56,6
89,89,118.0,8860,592,57,6
90,90,85.0,9834,444,57,7
91,91,116.0,9931,407,56,6
92,92,102.0,698,248,57,6
93,93,115.0,5945,357,57,14
94,94,108.0,4673,515,56,20
95,95,118.0,664,275,57,6
96,96,129.0,10671,102,57,0
97,97,88.0,2569,252,57,1
98,98,87.0,1181,486,57,3
99,99,87.0,1181,486,57,11
100,100,94.0,1181,486,57,3
101,101,90.0,5726,486,56,4
102,102,91.0,8853,407,56,6
103,103,104.0,5149,592,57,6
104,104,100.0,10381,486,56,3
105,105,112.0,968,407,57,3
106,106,99.0,245,562,57,3
107,107,105.0,7103,163,57,0
108,108,111.0,1793,592,57,6
109,109,91.0,1328,592,57,3
110,110,96.0,5514,102,57,3
111,111,106.0,10311,383,57,6
112,112,100.0,10311,383,57,6
113,113,92.0,3551,652,57,3
114,114,135.0,8148,675,56,6
115,115,100.0,5532,102,57,0
116,116,95.0,1639,68,57,5
117,117,177.0,1364,486,56,0
118,118,114.0,7818,161,37,4
119,119,91.0,6803,428,57,4
120,120,108.0,998,102,57,6
121,121,117.0,677,562,57,5
122,122,99.0,9906,365,57,3
123,123,92.0,4014,592,57,3
124,124,100.0,6485,592,57,0
125,125,117.0,1311,486,53,3
126,126,102.0,1774,542,57,6
127,127,113.0,9598,407,57,6
128,128,92.0,3006,407,57,3
129,129,87.0,4382,33,56,20
130,130,101.0,3091,228,56,6
131,131,95.0,4243,486,56,0
132,132,92.0,2476,252,57,3
133,133,86.0,5085,652,67,3
134,134,115.0,5085,652,67,3
135,135,91.0,9171,599,57,6
136,136,122.0,7808,675,46,20
137,137,117.0,7808,675,46,6
138,138,158.0,7808,675,46,8
139,139,117.0,8079,383,57,3
140,140,98.0,8154,254,56,3
141,141,118.0,863,592,56,0
142,142,104.0,863,592,56,4
143,143,120.0,863,592,56,0
144,144,100.0,863,592,56,5
145,145,81.0,7948,675,56,0
146,146,102.0,8019,428,56,6
147,147,113.0,628,228,56,14
148,148,105.0,551,562,56,4
149,149,140.0,711,652,56,6
150,150,139.0,6724,383,56,1
151,151,82.0,7914,444,56,6
152,152,121.0,934,675,56,0
153,153,100.0,1077,592,56,6
154,154,83.0,1270,407,56,3
155,155,91.0,1555,280,56,0
156,156,100.0,1617,652,56,8
157,157,128.0,1835,652,56,13
158,158,109.0,1949,486,56,0
159,159,116.0,2045,102,56,0
160,160,119.0,2070,562,56,5
161,161,104.0,2305,592,56,17
162,162,102.0,2326,592,56,6
163,163,80.0,8379,635,56,0
164,164,116.0,2884,102,56,6
165,165,134.0,2962,592,56,0
166,166,107.0,3494,383,56,0
167,167,92.0,4278,450,56,3
168,168,97.0,4334,592,56,1
169,169,96.0,4359,102,56,15
170,170,88.0,4386,592,56,3
171,171,91.0,4480,407,56,6
172,172,89.0,4852,562,56,6
173,173,119.0,4896,383,56,13
174,174,95.0,5013,102,56,6
175,175,115.0,5013,102,56,6
176,176,68.0,5013,102,56,3
177,177,82.0,5013,102,56,6
178,178,101.0,5013,102,56,6
179,179,94.0,5073,280,56,14
180,180,100.0,5441,280,56,3
181,181,95.0,5555,562,56,17
182,182,93.0,5642,444,56,11
183,183,114.0,9173,592,56,4
184,184,121.0,9173,592,56,5
185,185,103.0,5758,252,56,3
186,186,94.0,6128,248,56,3
187,187,99.0,6128,248,56,4
188,188,95.0,6128,248,56,6
189,189,98.0,9358,184,56,8
190,190,91.0,6561,383,45,8
191,191,90.0,6561,383,45,6
192,192,119.0,6839,562,56,6
193,193,94.0,6839,562,56,0
194,194,135.0,9480,102,56,6
195,195,115.0,9480,102,56,6
196,196,240.0,9480,102,56,16
197,197,90.0,9480,102,56,6
198,198,93.0,9535,571,56,5
199,199,76.0,9535,571,56,4
200,200,128.0,7117,383,56,6
201,201,112.0,7265,407,56,3
202,202,106.0,7322,675,56,3
203,203,108.0,7394,383,56,15
204,204,109.0,9599,675,56,6
205,205,145.0,7581,252,56,4
206,206,99.0,9692,102,56,17
207,207,115.0,9971,571,56,6
208,208,111.0,10069,228,56,6
209,209,100.0,10277,675,56,0
210,210,93.0,10335,102,56,3
211,211,73.0,10341,407,56,5
212,212,103.0,340,252,56,6
213,213,135.0,10531,652,56,1
214,214,89.0,10662,571,56,6
215,215,98.0,10700,383,56,0
216,216,98.0,10700,383,56,6
217,217,97.0,8157,486,55,6
218,218,90.0,8157,486,55,6
219,219,90.0,1498,252,56,1
220,220,135.0,1495,562,56,6
221,221,113.0,1001,280,56,6
222,222,105.0,995,592,56,6
223,223,89.0,1140,652,56,3
224,224,115.0,1351,675,56,3
225,225,97.0,8288,652,56,6
226,226,31.0,8288,652,56,3
227,227,103.0,1783,571,56,6
228,228,92.0,1826,407,55,3
229,229,123.0,2388,675,55,6
230,230,101.0,2544,486,55,0
231,231,0.0,2311,571,56,4
232,232,103.0,2240,228,55,6
233,233,132.0,2431,592,56,4
234,234,107.0,2562,428,55,3
235,235,123.0,2589,275,55,3
236,236,103.0,2774,407,56,6
237,237,113.0,2770,571,55,17
238,238,127.0,2596,102,55,3
239,239,111.0,3125,252,56,3
240,240,101.0,3057,592,56,3
241,241,78.0,201,102,56,14
242,242,103.0,3720,592,56,6
243,243,96.0,3012,383,56,6
244,244,0.0,3012,383,56,3
245,245,111.0,2849,562,56,10
246,246,90.0,3396,407,56,6
247,247,77.0,3480,68,56,8
248,248,109.0,8592,407,56,6
249,249,171.0,3807,228,55,5
250,250,99.0,3654,407,55,6
251,251,113.0,3860,102,56,3
252,252,121.0,4036,592,55,6
253,253,100.0,3658,102,56,3
254,254,94.0,3658,102,56,3
255,255,106.0,8770,486,64,0
256,256,94.0,8770,486,64,6
257,257,100.0,3996,486,55,3
258,258,123.0,4151,675,55,11
259,259,139.0,4277,102,56,6
260,260,82.0,8847,102,56,3
261,261,109.0,4379,652,55,3
262,262,0.0,4379,652,55,3
263,263,96.0,4379,652,55,5
264,264,102.0,4390,675,56,0
265,265,89.0,214,102,56,1
266,266,101.0,4536,252,56,0
267,267,98.0,4536,252,56,4
268,268,121.0,7479,252,38,1
269,269,97.0,227,675,56,6
270,270,163.0,227,675,56,6
271,271,101.0,4623,275,55,6
272,272,100.0,4596,385,55,4
273,273,105.0,4790,407,54,6
274,274,133.0,4717,592,55,1
275,275,95.0,5058,652,56,1
276,276,98.0,4837,228,56,0
277,277,92.0,5277,562,55,4
278,278,108.0,4928,675,55,6
279,279,88.0,4928,675,55,6
280,280,106.0,4906,486,56,6
281,281,107.0,9045,275,55,3
282,282,123.0,5151,592,55,6
283,283,96.0,5084,102,56,0
284,284,96.0,5084,592,66,0
285,285,100.0,5084,102,56,3
286,286,100.0,5084,592,66,3
287,287,97.0,5377,592,55,3
288,288,108.0,5313,486,55,3
289,289,95.0,5281,102,56,3
290,290,128.0,5584,428,56,3
291,291,122.0,5538,675,56,4
292,292,110.0,5798,486,55,6
293,293,107.0,5798,486,55,3
294,294,112.0,5682,252,55,6
295,295,98.0,5700,280,56,4
296,296,119.0,5666,675,55,4
297,297,115.0,5980,633,55,3
298,298,115.0,5980,126,76,3
299,299,99.0,5946,228,56,6
300,300,127.0,6041,675,56,0
301,301,113.0,9282,275,56,3
302,302,94.0,281,102,56,3
303,303,154.0,6428,407,55,17
304,304,124.0,6085,280,56,6
305,305,105.0,6446,365,56,3
306,306,98.0,6371,555,72,6
307,307,87.0,6371,555,72,0
308,308,133.0,6471,102,55,10
309,309,94.0,6230,407,56,6
310,310,162.0,6454,407,55,6
311,311,107.0,9378,592,56,0
312,312,90.0,9378,592,56,0
313,313,108.0,6776,102,56,6
314,314,95.0,7613,486,56,3
315,315,89.0,9640,428,55,2
316,316,97.0,9508,248,56,6
317,317,110.0,9581,675,55,0
318,318,121.0,7489,383,55,0
319,319,97.0,9473,102,55,8
320,320,142.0,9529,161,55,6
321,321,92.0,7041,280,56,4
322,322,96.0,7697,275,55,6
323,323,108.0,7591,407,56,3
324,324,101.0,7719,635,56,4
325,325,100.0,9629,275,56,3
326,326,125.0,10030,275,55,6
327,327,98.0,7799,383,56,0
328,328,118.0,7475,486,55,15
329,329,98.0,7780,571,56,4
330,330,99.0,10429,652,56,17
331,331,77.0,10429,652,56,11
332,332,97.0,10047,486,56,3
333,333,99.0,9751,280,56,17
334,334,88.0,9751,280,56,11
335,335,88.0,9787,571,56,6
336,336,66.0,9787,571,56,4
337,337,118.0,10605,486,54,14
338,338,106.0,10438,486,56,0
339,339,103.0,10647,102,56,3
340,340,126.0,9790,652,55,6
341,341,874.0,9790,652,55,5
342,342,87.0,2469,228,56,3
343,343,106.0,5542,407,56,6
344,344,94.0,7999,592,56,3
345,345,86.0,384,675,55,3
346,346,104.0,7928,280,55,6
347,347,100.0,858,280,55,6
348,348,139.0,1158,228,55,17
349,349,98.0,1481,407,55,0
350,350,141.0,1825,486,55,0
351,351,119.0,8225,675,55,6
352,352,123.0,8225,675,55,6
353,353,115.0,1989,428,55,3
354,354,115.0,2055,652,55,3
355,355,102.0,8281,407,55,8
356,356,128.0,1862,675,55,6
357,357,91.0,8510,652,55,8
358,358,142.0,3063,486,55,3
359,359,117.0,3075,280,55,3
360,360,127.0,3742,592,56,14
361,361,123.0,3951,102,55,0
362,362,93.0,3951,102,55,4
363,363,101.0,4205,633,55,3
364,364,111.0,8858,186,28,1
365,365,78.0,8858,186,28,7
366,366,106.0,8858,186,28,7
367,367,180.0,9876,341,55,5
368,368,89.0,8982,102,55,7
369,369,140.0,4819,407,55,6
370,370,101.0,9081,428,55,14
371,371,83.0,9081,428,55,11
372,372,90.0,9081,428,55,20
373,373,127.0,5174,675,55,0
374,374,125.0,5517,228,55,6
375,375,112.0,9267,652,55,3
376,376,99.0,6555,652,55,6
377,377,98.0,6580,544,55,4
378,378,98.0,6844,428,55,6
379,379,111.0,9434,652,55,0
380,380,116.0,7398,252,55,0
381,381,99.0,7397,383,55,3
382,382,99.0,10011,652,55,17
383,383,141.0,10171,252,55,0
384,384,126.0,10625,102,55,6
385,385,125.0,10762,161,55,8
386,386,125.0,10762,161,55,17
387,387,122.0,10762,161,55,6
388,388,95.0,10762,161,55,6
389,389,191.0,10802,675,55,6
390,390,108.0,865,102,63,0
391,391,116.0,865,102,63,0
392,392,93.0,865,102,63,19
393,393,99.0,236,562,55,3
394,394,96.0,6830,280,56,3
395,395,100.0,231,102,55,0
396,396,110.0,1899,444,55,6
397,397,119.0,4261,280,55,4
398,398,61.0,9495,623,55,2
399,399,102.0,7596,652,55,0
400,400,92.0,1890,306,56,0
401,401,92.0,5335,497,67,0
402,402,108.0,5335,497,67,13
403,403,107.0,5335,497,67,6
404,404,97.0,5988,592,67,3
405,405,83.0,5988,592,67,1
406,406,115.0,1444,114,56,5
407,407,97.0,2887,635,55,20
408,408,95.0,4088,428,56,11
409,409,105.0,128,428,55,6
410,410,96.0,372,428,55,4
411,411,94.0,395,486,54,3
412,412,139.0,7937,161,54,6
413,413,81.0,7937,161,54,6
414,414,92.0,452,252,55,3
415,415,107.0,7941,407,55,3
416,416,105.0,686,102,54,0
417,417,99.0,868,252,55,0
418,418,100.0,868,252,55,3
419,419,100.0,917,228,55,3
420,420,122.0,1015,675,55,6
421,421,93.0,8057,252,54,3
422,422,104.0,1072,486,55,0
423,423,88.0,1162,675,55,0
424,424,106.0,1162,675,55,6
425,425,106.0,1223,428,55,13
426,426,121.0,1249,383,55,6
427,427,93.0,1249,383,55,6
428,428,108.0,1253,486,55,6
429,429,101.0,1264,449,55,6
430,430,87.0,1286,675,55,11
431,431,107.0,1338,449,54,6
432,432,121.0,154,571,54,6
433,433,80.0,1524,102,55,3
434,434,90.0,1534,161,54,6
435,435,144.0,1588,652,54,0
436,436,116.0,1798,161,55,0
437,437,107.0,1822,383,55,3
438,438,112.0,1830,633,54,0
439,439,88.0,1941,486,54,3
440,440,121.0,1902,102,55,6
441,441,102.0,8274,652,55,19
442,442,108.0,2135,383,54,6
443,443,110.0,2170,675,54,3
444,444,102.0,2188,280,54,3
445,445,115.0,2288,675,54,4
446,446,96.0,2731,228,55,19
447,447,91.0,2864,383,54,3
448,448,171.0,2846,407,54,6
449,449,97.0,8479,449,55,6
450,450,122.0,2882,675,54,6
451,451,103.0,2882,675,54,6
452,452,88.0,2880,298,55,3
453,453,103.0,10754,675,55,3
454,454,126.0,2993,486,54,6
455,455,101.0,10696,228,55,3
456,456,94.0,3038,652,54,3
457,457,98.0,3038,652,54,14
458,458,108.0,3038,652,54,20
459,459,154.0,8495,486,54,6
460,460,90.0,8495,486,54,6
461,461,112.0,3113,675,54,7
462,462,114.0,3128,407,55,4
463,463,72.0,3128,407,55,5
464,464,130.0,8550,675,54,1
465,465,104.0,8550,675,54,19
466,466,115.0,3242,161,54,10
467,467,83.0,3327,275,55,6
468,468,94.0,197,280,55,3
469,469,107.0,3476,102,54,6
470,470,97.0,3568,652,54,0
471,471,86.0,3828,252,54,0
472,472,95.0,4848,535,56,3
473,473,99.0,8433,407,56,6
474,474,140.0,8748,407,55,14
475,475,100.0,3845,428,55,3
476,476,111.0,8754,675,55,3
