,lifetime_gross
0,191796233
1,100475249
2,71518503
3,67052156
4,76594107
5,67436818
6,67436818
7,67436818
8,53672080
9,53672080
10,23920048
11,20350171
12,106429941
13,60079496
14,10772144
15,11348324
16,13681765
17,10017322
18,42512375
19,43182776
20,43182776
21,43182776
22,43182776
23,4257354
24,108385533
25,35431113
26,72101622
27,32051917
28,30303072
29,30862156
30,32029928
31,2844379
32,2844379
33,2844379
34,2844379
35,27112329
36,5269757
37,5269757
38,5269757
39,2086101
40,84919401
41,63658910
42,3242342
43,39363635
44,19474589
45,19474589
46,56631572
47,670727
48,670727
49,2684904
50,2684904
51,2684904
52,24147179
53,4005941
54,4005941
55,70454098
56,21284514
57,141579773
58,919671
59,23341568
60,19480
61,6468498
62,17736619
63,1110104
64,17519169
65,17519169
66,17626234
67,17626234
68,35656131
69,26877589
70,26877589
71,82569971
72,20109115
73,10658278
74,13427615
75,2409225
76,26282
77,1026646
78,27467564
79,27467564
80,25836616
81,52842724
82,718490
83,19030691
84,19030691
85,2042530
86,5711695
87,5711695
88,868979
89,22754725
90,924940
91,529766
92,4228275
93,2291255
94,801984
95,3414301
96,10292300
97,9871065
98,32417995
99,32417995
100,32417995
101,8175346
102,14381
103,5707094
104,19751736
105,10597759
106,469571
107,3061
108,20340204
109,560069
110,12825141
111,2821671
112,2821671
113,38824099
114,71516617
115,34327391
116,28672
117,75609945
118,28262574
119,32392047
120,8797839
121,1310200
122,536825
123,2420162
124,1945552
125,70052444
126,600200
127,371674
128,14702438
129,10622
130,103365
131,9851610
132,25785603
133,37327390
134,37327390
135,78072
136,9023199
137,9023199
138,9023199
139,124060553
140,10426506
141,65807024
142,65807024
143,65807024
144,65807024
145,7506759
146,2381087
147,259724
148,757088
149,173837933
150,31596911
151,307308
152,184031112
153,5750110
154,1268636
155,163971
156,100328194
157,13071518
158,81022101
159,91387195
160,3041083
161,25405445
162,16140822
163,284785
164,293274
165,37600435
166,7563728
167,3487767
168,19075720
169,34693481
170,17014653
171,7412216
172,1111790
173,13294422
174,15453274
175,15453274
176,15453274
177,15453274
178,15453274
179,2122561
180,2484226
181,1125910
182,443169
183,50727965
184,50727965
185,69684532
186,472370
187,472370
188,472370
189,16115878
190,8289916
191,8289916
192,512245
193,512245
194,10382407
195,10382407
196,10382407
197,10382407
198,2702578
199,2702578
200,20350754
201,8367636
202,50865589
203,60074103
204,99318
205,7959291
206,5772529
207,7027517
208,340139
209,50024083
210,7929434
211,2875086
212,50008143
213,88246220
214,3734870
215,2193982
216,2193982
217,487391
218,487391
219,7919823
220,2302338
221,763847
222,5535405
223,25588734
224,23440188
225,2568425
226,2568425
227,23389975
228,3151130
229,83015089
230,28735315
231,1176982
232,3103716
233,24361867
234,127175374
235,7294403
236,4221036
237,6841570
238,5887457
239,38896854
240,33177694
241,35348597
242,12201255
243,3987768
244,3987768
245,1573411
246,3941146
247,57100
248,3291163
249,7830611
250,3049135
251,26325256
252,9914409
253,17689177
254,17689177
255,34244097
256,34244097
257,26381221
258,105264608
259,2473668
260,7557877
261,36763355
262,36763355
263,36763355
264,36853222
265,13406717
266,14942422
267,14942422
268,460998007
269,10015449
270,10015449
271,152457
272,39003
273,21665468
274,66638883
275,29412050
276,1095885
277,3267313
278,18272894
279,18272894
280,7603766
281,15238689
282,22006296
283,40070995
284,19699706
285,40070995
286,19699706
287,6821850
288,18137661
289,5221281
290,11079373
291,17381942
292,39491975
293,39491975
294,33683817
295,3565508
296,50282766
297,20059210
298,61565
299,1608570
300,67659560
301,2832826
302,345972
303,107928762
304,6834525
305,152322
306,29136626
307,29136626
308,24822619
309,1238905
310,1304237
311,18636537
312,18636537
313,12096881
314,912082
315,9771658
316,6159269
317,57362582
318,71567262
319,144833357
320,28341469
321,2079569
322,102780
323,2080805
324,382928
325,766464
326,2332728
327,4064495
328,75671125
329,11837928
330,9418365
331,9418365
332,32679899
333,536023
334,536023
335,6014341
336,6014341
337,10032765
338,24047675
339,81057016
340,16928556
341,16928556
342,759393
343,15119639
344,9685976
345,72217396
346,11220670
347,2392589
348,1862805
349,13383747
350,122187717
351,92115211
352,92115211
353,20164171
